training_run,model_name,real_interventions,drive,elva_mae,elva_whiteness,elva_expert_whiteness,val_mae,model_type,vista_interventions,traj_mae,traj_rmse,traj_max,traj_failure_rate,distance,distance_per_intervention,whiteness,cmd_whiteness,expert_whiteness
13nkhdy1,mae-s1,10,"('2022-09-02-10-42-07_elva_mae_s1_rep3',)",8.258923134682012,64.583984375,17.679367742783565,8.128144194638326,pilotnet,21.0,0.4275885101970105,0.5564110819249404,1.7228116415818757,7.332284514838954,8244.713032972533,824.4713032972534,37.130436061247735,66.70870234967965,17.655093527296977
13nkhdy1,mae-s1,4,"('2022-09-08-11-26-29_mae-s1',)",8.258923134682012,64.583984375,17.679367742783565,8.128144194638326,pilotnet,21.0,0.432556698068405,0.5404419842854369,1.7136336948071795,6.9117482736578495,8502.290631060074,2125.5726577650184,33.935801679319766,49.839578854237914,17.655093527296977
bxd5wtqk,mae-s2,1,"('2022-09-08-11-49-08_mae-s2',)",7.196932461202463,54.84665298461914,17.679367742783565,7.828012066693326,pilotnet,15.0,0.45165215572620676,0.5689189960346576,1.6158240205852623,10.053175442101935,8575.588386898577,8575.588386898577,26.903180681269028,32.749449801377494,17.655093527296977
gwgmsh0e,mae-s3,6,"('2022-09-08-12-13-25_mae-s3',)",8.794627063018755,75.33070373535156,17.679367742783565,8.483535429912495,pilotnet,15.0,0.42763355737500786,0.5205958078167762,1.5600268058731415,5.275529294485298,8389.520489939383,1398.2534149898972,43.09396526038553,78.45576597785234,17.655093527296977
3ftnqxcb,ebm-512-s1,2,"('e2e-ebm-512-s1-forward_2022-09-13-10-33-34', 'e2e-ebm-512-s1-backward_2022-09-13-10-44-25')",7.487386374941065,191.0606384277344,17.679367742783565,8.607146266277077,pilotnet-ebm,1.0,0.44701993977325605,0.5573806012318301,1.6530582085954355,7.894525036796065,8413.354515082789,4206.677257541394,32.979861639618875,153.37926347539187,17.655093527296977
2yofzwf0,ebm-50percent-s2,23,"('e2e-ebm-50percent-s2-forward_2022-09-13-11-19-28', 'e2e-ebm-50percent-s2-backward_2022-09-13-11-30-33')",9.627881493241093,303.58782958984375,17.679367742783565,9.19865960108964,pilotnet-ebm,12.0,0.4903187032724524,0.6101052334177769,1.7170584485814193,11.562158063486418,8174.618922804224,355.41821403496624,55.05623402197604,266.929009023257,17.655093527296977
zie8x2vl,ebm-20percent-s2,23,"('e2e-ebm-20percent-s2-forward_2022-09-13-12-10-23', 'e2e-ebm-20percent-s2-backward_2022-09-13-12-21-25')",10.817906337408871,426.1623840332031,17.679367742783565,11.630416379828278,pilotnet-ebm,5.0,0.5818639542967281,0.7095118053404986,1.722253700846006,18.033709167279035,8061.9341466283495,350.51887594036305,53.153963244160636,171.41978366084373,17.655093527296977
3g3wwx73,classifier-512,4,"('e2e-classifier-512-forward_2022-09-13-10-56-50', 'e2e-classifier-512-backward_2022-09-13-11-07-29')",8.117840721151211,208.4579162597656,17.679367742783565,9.925803470768946,pilotnet-classifier,15.0,0.45103118285569777,0.5683039119021549,1.7082667773129696,9.166394910569888,8500.273382200543,2125.0683455501357,36.31626170742335,192.91079944364537,17.655093527296977
1t56cx3v,classifier-50percent-s1,16,"('e2e-classifier-50percent-s1-forward_2022-09-13-11-42-53', 'e2e-classifier-50percent-s1-backward_2022-09-13-11-53-59')",11.73375374885498,717.4334716796875,17.679367742783565,12.855069506346585,pilotnet-classifier,29.5,0.5000144084280866,0.6110372907883208,1.7158920554166612,9.883150252738254,8352.207363318143,522.0129602073839,53.267489920567044,427.5925755857622,17.655093527296977
2ldsn0i0,classifier-20percent-s2,31,"('e2e-classifier-20percent-s2-forward_2022-09-13-12-33-22', 'e2e-classifier-20percent-s2-backward_2022-09-13-12-44-44')",16.6350454929531,1068.3125,17.679367742783565,15.802833208661067,pilotnet-classifier,18.0,0.5715695233482453,0.7018386977074815,1.7224044061347303,16.997027162439444,8007.114968368869,258.29403123770544,75.4118869098277,433.9625526624712,17.655093527296977
